iter	Passed	Remaining
38387	32803	517438388	32887	516538389	32975	515739390	33054	514839391	33129	513839392	33211	512939393	33304	512239394	33389	511439395	33465	510439396	33554	509639397	33634	508739398	33718	507839399	33799	506940400	33866	505840401	33947	504940402	34034	504140403	34116	503340404	34193	502340405	34297	501740406	34377	500840407	34456	499940408	34535	499040409	34613	498041410	34702	497341411	34778	496341412	34859	495441413	34955	494741414	35029	493741415	35108	492841416	35183	491841417	35277	491141418	35362	490341419	35438	489342420	35516	488442421	35600	487642422	35683	486742423	35767	485942424	35858	485142425	35934	484142426	36016	483342427	36097	482442428	36174	481442429	36257	480643430	36346	479843431	36432	479043432	36514	478143433	36592	477243434	36668	476243435	36740	475243436	36820	474343437	36912	473643438	36993	472743439	37082	471944440	37167	471144441	37265	470444442	37343	469544443	37434	468744444	37508	467844445	37586	466844446	37683	466144447	37770	465344448	37848	464444449	37924	463545450	38015	462745451	38098	461845452	38180	461045453	38261	460145454	38345	459345455	38425	458445456	38507	457545457	38580	456545458	38662	455645459	38745	454846460	38813	453846461	38896	452946462	38985	452146463	39065	451246464	39147	450446465	39221	449446466	39295	448446467	39371	447546468	39461	4467469	39598	44654
470	39680	44566
471	39752	44469
472	39833	44381
47473	39855	442247474	39947	441547475	40038	4407476	40159	44031
477	40242	43947
478	40320	43855
479	40393	43760
480	40490	43689
481	40569	43599
482	40648	43509
483	40742	43436
484	40827	43352
485	40897	43253
486	40976	43163
487	41049	43068
488	41131	42981
489	41226	42908
490	41310	42824
491	41391	42737
492	41466	42643
493	41546	42556
494	41640	42482
495	41724	42397
496	41805	42310
497	41874	42211
498	41949	42117
499	42027	42027
500	42099	41931
50501	42116	417850502	42202	416950503	42280	416050504	42368	415250505	42455	414450506	42540	413650507	42613	412750508	42691	411850509	42776	410951510	42864	410151511	42952	409351512	43031	408551513	43109	407651514	43193	406751515	43275	405951516	43359	405051517	43431	404151518	43508	403251519	43583	402352520	43670	401552521	43755	400652522	43840	399852523	43922	398952524	44001	398152525	44074	397152526	44162	396352527	44227	395352528	44311	394552529	44389	393653530	44478	392853531	44563	392053532	44646	391153533	44721	390253534	44809	389453535	44901	388653536	44991	387953537	45069	387053538	45155	386253539	45236	385354540	45316	384454541	45400	383654542	45473	382754543	45558	381854544	45638	381054545	45717	380154546	45810	379354547	45898	378554548	45987	377754549	46071	37694
550	46162	37616
551	46242	37530
552	46336	37454
553	46415	37367
554	46491	37277
555	46574	37192
556	46653	37104
557	46723	37010
558	46802	369255559	46872	368256560	46951	367456561	47037	366556562	47116	365756563	47195	364856564	47277	363956565	47358	363156566	47437	362256567	47531	36150
568	47611	360656569	47694	359757570	47771	35891
571	47865	35815
572	47950	35732
573	48049	35660
